Time,Open,High,Low,Close
2022-04-28 22:29:00,15.3,15.312,15.29,15.30275
2022-04-28 22:30:00,15.3,15.363,15.298,15.32925
2022-04-28 22:31:00,15.31,15.371,15.31,15.3515
2022-04-28 22:32:00,15.33,15.373,15.33,15.35325
2022-04-28 22:33:00,15.34,15.376,15.327,15.35375
2022-04-28 22:34:00,15.35,15.391,15.35,15.375
2022-04-28 22:35:00,15.36,15.385,15.36,15.372499999999999
2022-04-28 22:36:00,15.37,15.375,15.359,15.364
2022-04-28 22:37:00,15.37,15.37,15.343,15.357000000000001
2022-04-28 22:38:00,15.36,15.362,15.352,15.358
2022-04-28 22:39:00,15.36,15.4,15.353,15.3765
2022-04-28 22:40:00,15.37,15.398,15.359,15.378
2022-04-28 22:41:00,15.37,15.37,15.327,15.34575
2022-04-28 22:42:00,15.36,15.36,15.317,15.330750000000002
2022-04-28 22:43:00,15.35,15.361,15.328,15.345000000000002
2022-04-28 22:44:00,15.35,15.368,15.341,15.359
2022-04-28 22:45:00,15.35,15.399,15.35,15.377
2022-04-28 22:46:00,15.36,15.422,15.36,15.40625
2022-04-28 22:47:00,15.38,15.452,15.38,15.433250000000001
2022-04-28 22:48:00,15.41,15.466,15.41,15.452
2022-04-28 22:49:00,15.43,15.468,15.422,15.4485
2022-04-28 22:50:00,15.44,15.451,15.421,15.43575
2022-04-28 22:51:00,15.44,15.451,15.404,15.42825
2022-04-28 22:52:00,15.43,15.433,15.403,15.41875
2022-04-28 22:53:00,15.42,15.445,15.41,15.4275
2022-04-28 22:54:00,15.42,15.461,15.42,15.449
2022-04-28 22:55:00,15.43,15.475,15.43,15.460500000000001
2022-04-28 22:56:00,15.45,15.482,15.45,15.4695
2022-04-28 22:57:00,15.46,15.469,15.452,15.462250000000001
2022-04-28 22:58:00,15.46,15.489,15.459,15.473500000000001
2022-04-28 22:59:00,15.47,15.477,15.457,15.46725
2022-04-28 23:00:00,15.47,15.47,15.428,15.44675
2022-04-28 23:01:00,15.46,15.46,15.412,15.4225
2022-04-28 23:02:00,15.44,15.44,15.388,15.4055
2022-04-28 23:03:00,15.42,15.421,15.379,15.40175
2022-04-28 23:04:00,15.41,15.426,15.386,15.404
2022-04-28 23:05:00,15.41,15.413,15.374,15.397000000000002
2022-04-28 23:06:00,15.4,15.465,15.4,15.436
